StrikePrice,CE,PE,AnotherPe
15100,14,59036,59036
15200,0,10034,10034
15300,0,14499,14499
15400,1,3827,3827
15500,362,48115,48115
15600,1,16516,16516
15700,0,8916,8916
15800,4,14570,14570
15900,17,8653,8653
16000,1517,39842,39842
16100,49,10038,10038
16200,38,10926,10926
16300,103,14713,14713
16400,83,10001,10001
16500,1833,45729,45729
16600,715,25264,25264
16700,713,34368,34368
16800,1584,26078,26078
16900,4870,19307,19307
17000,17928,31488,31488
17100,20114,22954,22954
17200,25734,19010,19010
17300,45482,22998,22998
17400,33153,10003,10003
17500,50903,7353,7353
17600,28559,4351,4351
17700,32397,4343,4343
17800,38922,3188,3188
17900,20437,1804,1804
18000,77990,3584,3584
18100,23657,755,755
18200,31893,1194,1194
18300,38666,1153,1153
18400,34773,204,204
18500,61219,633,633
18600,23866,40,40
18700,17266,263,263
18800,18327,5,5
18900,9427,3,3
19000,79785,369,369
19100,2692,2,2
19200,5317,1,1
19300,4489,1,1
19400,3843,1,1
19500,51978,1,1
19600,5169,1,1
19700,5251,1,1
19800,78363,0,0
