0,1,2,3
15100,6,65527,65527
15200,0,10437,10437
15300,0,16322,16322
15400,1,5507,5507
15500,362,50002,50002
15600,1,18834,18834
15700,0,11846,11846
15800,4,19410,19410
15900,17,10249,10249
16000,1506,50505,50505
16100,49,12159,12159
16200,38,13448,13448
16300,89,16343,16343
16400,88,12603,12603
16500,1877,48323,48323
16600,716,23792,23792
16700,748,37591,37591
16800,1280,32234,32234
16900,4250,27969,27969
17000,15181,52599,52599
17100,10620,26264,26264
17200,22140,34656,34656
17300,51063,51012,51012
17400,38664,12813,12813
17500,53160,7168,7168
17600,32389,4267,4267
17700,30083,4741,4741
17800,49780,3225,3225
17900,38690,1750,1750
18000,88927,3498,3498
18100,27516,739,739
18200,34519,1165,1165
18300,50434,1147,1147
18400,34217,205,205
18500,79227,629,629
18600,29804,42,42
18700,21117,263,263
18800,19575,5,5
18900,9705,3,3
19000,68962,362,362
19100,3744,2,2
19200,4766,1,1
19300,4456,1,1
19400,3972,1,1
19500,40406,1,1
19600,3733,1,1
19700,5179,1,1
19800,76407,0,0
